Genre,Age,Annual Income (k$),Spending Score (1-100),cluster
1,19,15,39,-1
1,21,15,81,1
0,20,16,6,-1
0,23,16,77,0
0,31,17,40,2
0,22,17,76,0
0,35,18,6,-1
0,23,18,94,-1
1,64,19,3,-1
0,30,19,72,0
1,67,19,14,-1
0,35,19,99,-1
0,58,20,15,3
0,24,20,77,0
1,37,20,13,-1
1,22,20,79,1
0,35,21,35,2
1,20,21,66,1
1,52,23,29,-1
0,35,23,98,-1
1,35,24,35,-1
1,25,24,73,1
0,46,25,5,-1
1,31,25,73,1
0,54,28,14,3
1,29,28,82,1
0,45,28,32,2
1,35,28,61,-1
0,40,29,31,2
0,23,29,87,0
1,60,30,4,-1
0,21,30,73,0
1,53,33,4,-1
1,18,33,92,-1
0,49,33,14,3
0,21,33,81,0
0,42,34,17,-1
0,30,34,73,-1
0,36,37,26,2
0,20,37,75,0
0,65,38,35,-1
1,24,38,92,-1
1,48,39,36,6
0,31,39,61,5
0,49,39,28,-1
0,24,39,65,0
0,50,40,55,4
0,27,40,47,5
0,29,40,42,5
0,31,40,42,5
0,49,42,52,4
1,33,42,60,-1
0,31,43,54,5
1,59,43,60,6
0,50,43,45,4
1,47,43,41,6
0,51,44,50,4
1,69,44,46,6
0,27,46,51,5
1,53,46,46,6
1,70,46,56,6
1,19,46,55,7
0,67,47,52,8
0,54,47,59,4
1,63,48,51,6
1,18,48,59,7
0,43,48,50,4
0,68,48,48,8
1,19,48,59,7
0,32,48,47,5
1,70,49,55,6
0,47,49,42,4
0,60,50,49,4
0,60,50,56,4
1,59,54,47,6
1,26,54,54,9
0,45,54,53,4
1,40,54,48,-1
0,23,54,52,5
0,49,54,42,4
1,57,54,51,6
1,38,54,55,-1
1,67,54,41,6
0,46,54,44,4
0,21,54,57,5
1,48,54,46,6
0,55,57,58,4
0,22,57,55,5
0,34,58,60,-1
0,50,58,46,4
0,68,59,55,8
1,18,59,41,9
1,48,60,49,6
0,40,60,40,5
0,32,60,42,5
1,24,60,52,9
0,47,60,47,4
0,27,60,50,5
1,48,61,42,6
1,20,61,49,9
0,23,62,41,5
0,49,62,48,4
1,67,62,59,6
1,26,62,55,9
1,49,62,56,6
0,21,62,42,5
0,66,63,50,8
1,54,63,46,6
1,68,63,43,6
1,66,63,48,6
1,65,63,52,6
0,19,63,54,5
0,38,64,42,5
1,19,64,46,9
0,18,65,48,5
0,19,65,50,5
0,63,65,43,8
0,49,65,59,4
0,51,67,43,4
0,50,67,57,4
1,27,67,56,9
0,38,67,40,5
0,40,69,58,-1
1,39,69,91,10
0,23,70,29,5
0,31,70,77,11
1,43,71,35,-1
1,40,71,95,10
1,59,71,11,-1
1,38,71,75,12
1,47,71,9,-1
1,39,71,75,12
0,25,72,34,5
0,31,72,71,11
1,20,73,5,13
0,29,73,88,11
0,44,73,7,15
1,32,73,73,12
1,19,74,10,13
0,35,74,72,11
0,57,75,5,-1
1,32,75,93,10
0,28,76,40,5
0,32,76,87,11
1,25,77,12,13
1,28,77,97,10
1,48,77,36,-1
0,32,77,74,11
0,34,78,22,16
1,34,78,90,10
1,43,78,17,14
1,39,78,88,10
0,44,78,20,15
0,38,78,76,11
0,47,78,16,15
0,27,78,89,11
1,37,78,1,14
0,30,78,78,11
1,34,78,1,14
0,30,78,73,11
0,56,79,35,-1
0,29,79,83,11
1,19,81,5,13
0,31,81,93,11
1,50,85,26,-1
0,36,85,75,11
1,42,86,20,14
0,33,86,95,11
0,36,87,27,16
1,32,87,63,17
1,40,87,13,14
1,28,87,75,17
1,36,87,10,14
1,36,87,92,10
0,52,88,13,-1
0,30,88,86,11
1,58,88,15,-1
1,27,88,69,17
1,59,93,14,-1
1,35,93,90,10
0,37,97,32,16
0,32,97,86,11
1,46,98,15,-1
0,29,98,88,11
0,41,99,39,16
1,30,99,97,-1
0,54,101,24,-1
1,28,101,68,-1
0,41,103,17,-1
0,36,103,85,11
0,34,103,23,16
0,32,103,69,-1
1,33,113,8,-1
0,38,113,91,11
0,47,120,16,-1
0,35,120,79,-1
0,45,126,28,-1
1,32,126,74,-1
1,32,137,18,-1
1,30,137,83,-1
